Time,Energy_theoretical_Wh_sum,GHI_mean,temp_max,temp_min,humidity_mean,wind_speed_mean,step,GHI_lag1,temp_max_lag1,GHI_7d_avg,temp_7d_avg,day_of_year,day_sin
2018-05-11,152.19637652227502,21.11041666666667,16.4,12.3,92.95833333333333,2.529166666666667,495,63.317708333333336,26.4,67.13080357142857,21.857142857142858,131,0.7748840413670407
2018-05-12,355.697541890325,50.596875000000004,20.3,12.3,84.91666666666667,2.129166666666667,496,21.11041666666667,16.4,64.37276785714286,22.285714285714285,132,0.7638886127905428
2018-05-13,551.5040924254125,80.32291666666667,24.8,12.0,60.166666666666664,4.333333333333333,497,50.596875000000004,20.3,64.6547619047619,23.0,133,0.7526668275320084
2018-05-14,542.433803883075,78.63125000000001,22.4,11.4,57.375,3.9,498,80.32291666666667,24.8,64.63824404761905,22.91428571428571,134,0.741222010848596
2018-05-15,365.2827433984125,51.68333333333334,21.1,9.7,76.375,2.9499999999999997,499,78.63125000000001,22.4,60.557142857142864,22.442857142857147,135,0.7295575540864875
2018-05-16,438.241294633725,62.71770833333333,21.3,10.9,79.875,3.1291666666666664,500,51.68333333333334,21.1,58.34002976190476,21.814285714285713,136,0.717676913675962
2018-05-17,483.4173357291375,68.72708333333334,20.3,8.5,80.66666666666667,4.5125,501,62.71770833333333,21.3,59.11279761904762,20.942857142857143,137,0.705583610107178
2018-05-18,515.56966154955,72.40729166666667,16.9,6.8,79.58333333333333,4.0375000000000005,502,68.72708333333334,20.3,66.44092261904763,21.014285714285712,138,0.6932812268869777
2018-05-19,573.542320583475,81.15416666666667,18.3,5.4,61.541666666666664,3.3125,503,72.40729166666667,16.9,70.80625,20.728571428571428,139,0.6807734094770161
2018-05-20,602.9103333708,85.72083333333332,20.5,3.3,60.708333333333336,2.9291666666666667,504,81.15416666666667,18.3,71.57738095238095,20.114285714285717,140,0.6680638642135335
2018-05-21,569.9711895836625,82.03229166666667,22.8,8.4,57.916666666666664,3.9333333333333336,505,85.72083333333332,20.5,72.06324404761905,20.17142857142857,141,0.6551563572090853
2018-05-22,379.5576120349875,54.567708333333336,21.5,8.9,64.875,1.9833333333333334,506,82.03229166666667,22.8,72.47529761904761,20.228571428571428,142,0.6420547132365637
2018-05-23,588.866774567175,84.73645833333333,23.3,7.6,63.75,3.841666666666667,507,54.567708333333336,21.5,75.62083333333332,20.514285714285712,143,0.6287628145958344
2018-05-24,581.3284986712125,84.14270833333333,24.4,8.3,58.791666666666664,4.454166666666667,508,84.73645833333333,23.3,77.82306547619048,21.099999999999998,144,0.6152845999633276
2018-05-25,558.67544583255,80.81770833333333,23.5,9.7,59.125,3.2458333333333336,509,84.14270833333333,24.4,79.02455357142857,22.042857142857144,145,0.6016240632249226
2018-05-26,394.5984967629,56.651041666666664,22.7,9.8,81.08333333333333,2.0,510,80.81770833333333,23.5,75.52410714285713,22.67142857142857,146,0.5877852522924732
2018-05-27,410.4950852129625,59.645833333333336,25.6,10.8,77.625,2.7375000000000003,511,56.651041666666664,22.7,71.79910714285714,23.400000000000002,147,0.5737722679043246
2018-05-28,541.8049527250874,80.35520833333334,28.8,14.1,64.75,4.183333333333334,512,59.645833333333336,25.6,71.55952380952381,24.257142857142856,148,0.5595892624101765
2018-05-29,589.02753653325,87.465625,28.8,16.9,51.958333333333336,4.470833333333333,513,80.35520833333334,28.8,76.25922619047618,25.3,149,0.545240438540651
2018-05-30,500.5566143838,74.52395833333334,30.0,16.1,63.958333333333336,3.641666666666667,514,87.465625,28.8,74.80029761904761,26.25714285714286,150,0.5307300481619334
2018-05-31,486.92178568755,72.84270833333333,30.3,16.3,63.291666666666664,3.4416666666666664,515,74.52395833333334,30.0,73.18601190476191,27.1,151,0.5160623910158528
2018-06-01,431.778212190225,63.73854166666666,29.2,15.6,71.41666666666667,2.3291666666666666,516,72.84270833333333,30.3,70.74613095238097,27.914285714285715,152,0.5012418134457758
2018-06-02,398.36996910573754,58.637499999999996,27.4,14.5,84.375,1.6208333333333333,517,63.73854166666666,29.2,71.02991071428572,28.585714285714285,153,0.48627270710869
2018-06-03,572.7859866545625,83.92395833333333,25.9,10.8,78.45833333333333,2.4291666666666667,518,58.637499999999996,27.4,74.49821428571428,28.628571428571426,154,0.4711595076738638
2018-06-04,447.9824804886,64.83958333333334,23.4,13.4,80.25,3.5124999999999997,519,83.92395833333333,25.9,72.28169642857144,27.857142857142858,155,0.4559066935084588
2018-06-05,373.481397537075,53.809374999999996,21.9,9.8,74.79166666666667,4.429166666666666,520,64.83958333333334,23.4,67.47366071428571,26.87142857142857,156,0.440518784350495
2018-06-06,630.1039328879625,89.69270833333333,21.1,8.7,51.541666666666664,4.291666666666667,521,53.809374999999996,21.9,69.640625,25.599999999999998,157,0.42500033996955416
2018-06-07,622.3183515568126,90.00833333333333,24.6,9.3,48.833333333333336,3.8083333333333336,522,89.69270833333333,21.1,72.09285714285714,24.785714285714285,158,0.4093559588156213
